record_id,beat_idx,label,RR_current,RR_prev,RR_ratio,RR_local_mean,R_amplitude,QRS_duration,QRS_energy,ST_mean
100,0,N,798.8888888888889,798.8888888888889,1.0,798.8888888888889,0.84,6.0,6.79495,-0.3424691358024692
100,1,N,813.8888888888889,798.8888888888889,1.0,813.8888888888889,0.94,8.0,8.952100000000002,-0.40969135802469137
100,2,N,811.1111111111111,813.8888888888889,0.9982905982905983,812.5,0.885,6.0,9.148299999999999,-0.39358024691358023
100,3,N,788.8888888888889,811.1111111111111,0.9804372842347527,804.6296296296296,0.81,6.0,9.5219,-0.3648148148148148
100,4,N,791.6666666666666,788.8888888888889,0.9878682842287696,801.3888888888888,0.82,6.0,8.0761,-0.4030246913580247
100,5,N,788.8888888888889,791.6666666666666,0.9874826147426982,798.8888888888889,0.885,6.0,8.397375000000002,-0.4012962962962963
100,6,N,816.6666666666666,788.8888888888889,1.0215427380125086,799.4444444444445,0.945,6.0,8.649525,-0.3732716049382716
100,7,S,652.7777777777778,816.6666666666666,0.8502170767004343,767.7777777777777,0.845,6.0,8.57275,-0.38888888888888884
100,8,N,994.4444444444445,652.7777777777778,1.2293956043956045,808.8888888888889,0.845,7.0,9.512075,-0.4432716049382716
100,9,N,844.4444444444445,994.4444444444445,1.0305084745762711,819.4444444444446,0.89,6.0,9.1932,-0.39604938271604934
100,10,N,811.1111111111111,844.4444444444445,0.9844908968307484,823.8888888888889,0.925,6.0,8.3302,-0.3624691358024692
100,11,N,788.8888888888889,811.1111111111111,0.9640190088255263,818.3333333333333,0.82,6.0,7.397175000000001,-0.33870370370370373
100,12,N,772.2222222222223,788.8888888888889,0.91688654353562,842.2222222222223,0.835,5.0,7.69425,-0.39475308641975304
100,13,N,838.8888888888889,772.2222222222223,1.034246575342466,811.1111111111111,0.885,7.0,8.338424999999999,-0.35012345679012347
100,14,N,855.5555555555555,838.8888888888889,1.0519125683060109,813.3333333333334,0.86,6.0,8.643424999999999,-0.3553703703703704
100,15,N,822.2222222222222,855.5555555555555,1.008174386920981,815.5555555555555,0.795,6.0,8.109874999999999,-0.40919753086419747
100,16,N,827.7777777777777,822.2222222222222,1.0053981106612684,823.3333333333334,0.815,7.0,8.547,-0.4232098765432099
100,17,N,822.2222222222222,827.7777777777777,0.9866666666666667,833.3333333333333,0.89,6.0,8.56555,-0.3671604938271605
100,18,N,794.4444444444443,822.2222222222222,0.9636118598382747,824.4444444444446,0.82,6.0,7.571375000000001,-0.35444444444444445
100,19,N,797.2222222222223,794.4444444444443,0.9808612440191389,812.7777777777777,0.925,8.0,9.659675,-0.404320987654321
100,20,N,791.6666666666666,797.2222222222223,0.981404958677686,806.6666666666666,0.895,6.0,8.671700000000001,-0.39086419753086415
100,21,N,822.2222222222222,791.6666666666666,1.0206896551724138,805.5555555555554,0.955,7.0,9.061625,-0.37580246913580245
100,22,N,869.4444444444445,822.2222222222222,1.066802999318337,814.9999999999999,0.875,6.0,8.4212,-0.3748148148148149
100,23,N,822.2222222222222,869.4444444444445,1.002031144211239,820.5555555555554,0.84,6.0,8.82015,-0.4095679012345679
100,24,N,786.1111111111111,822.2222222222222,0.9606245756958588,818.3333333333333,0.935,6.0,8.88885,-0.3704320987654321
100,25,N,791.6666666666666,786.1111111111111,0.9674134419551935,818.3333333333333,0.93,9.0,10.360300000000002,-0.3569753086419753
100,26,N,775.0,791.6666666666666,0.9581043956043958,808.8888888888888,0.88,6.0,8.434075000000002,-0.38246913580246916
100,27,N,786.1111111111111,775.0,0.9922861150070125,792.2222222222223,0.92,6.0,8.848375,-0.4264814814814815
100,28,N,811.1111111111111,786.1111111111111,1.0267229254571026,790.0,0.855,6.0,10.5082,-0.43987654320987657
100,29,N,816.6666666666666,811.1111111111111,1.0258199581297975,796.1111111111111,0.845,6.0,10.681449999999998,-0.4734567901234567
100,30,N,827.7777777777777,816.6666666666666,1.0304287690179808,803.3333333333333,0.725,6.0,11.287125000000001,-0.5124074074074074
100,31,N,844.4444444444445,827.7777777777777,1.0333106730115569,817.2222222222222,0.8,6.0,11.375800000000002,-0.49395061728395057
100,32,N,805.5555555555555,844.4444444444445,0.9810554803788905,821.1111111111111,1.005,7.0,12.164299999999999,-0.4342592592592593
